%JA0 JA1 JA2 JA3 JA4 JA5 JA6 JA7 JA8 JA9 JA10 JA11 JA12 JA13 JA14 JV0 JV1 JV2 JV3 JV4 JV5 JV6 JV7 JV8 JV9 JV10 JV11 JV12 JV13 JV14 waistPX waistPY waistPZ waistQX waistQY waistQZ waistQW clockv2 ControlTimeV2 
2.09905e-20 -4.76985e-20 0 -0.010472 -0.000628319 -1.74325 0.265447 0.164427 0.0553095 0.010472 -0.000628319 -1.74325 -0.265447 0.164427 -0.0553095 2.9708e-313 4.8684e-86 0 -4.86298e+244 4.88059e-313 4.24402e-314 1.6976e-313 5.3289e+06 5.94159e-313 1.39069e-309 1.42904e-284 2.12203e-314 7.01379e-270 0 0 0 0 0 1 0 0 0 1 0 0 0 1   0.00000  0.00005
2.09905e-20 -4.76985e-20 0 -0.010472 -0.000628319 -1.74325 0.265447 0.164427 0.0553095 0.010472 -0.000628319 -1.74325 -0.265447 0.164427 -0.0553095 2.9708e-313 4.8684e-86 0 -4.86298e+244 4.88059e-313 4.24402e-314 1.6976e-313 5.3289e+06 5.94159e-313 1.39069e-309 1.42904e-284 2.12203e-314 7.01379e-270 0 0 0 0 0 1 0 0 0 1 0 0 0 1   0.00500  0.00005
2.09905e-20 -4.76985e-20 0 -0.010472 -0.000628319 -1.74325 0.265447 0.164427 0.0553095 0.010472 -0.000628319 -1.74325 -0.265447 0.164427 -0.0553095 2.9708e-313 4.8684e-86 0 -4.86298e+244 4.88059e-313 4.24402e-314 1.6976e-313 5.3289e+06 5.94159e-313 1.39069e-309 1.42904e-284 2.12203e-314 7.01379e-270 0 0 0 0 0 1 0 0 0 1 0 0 0 1   0.00999  0.00006
2.09905e-20 -4.76985e-20 0 -0.010472 -0.000628319 -1.74325 0.265447 0.164427 0.0553095 0.010472 -0.000628319 -1.74325 -0.265447 0.164427 -0.0553095 2.9708e-313 4.8684e-86 0 -4.86298e+244 4.88059e-313 4.24402e-314 1.6976e-313 5.3289e+06 5.94159e-313 1.39069e-309 1.42904e-284 2.12203e-314 7.01379e-270 0 0 0 0 0 1 0 0 0 1 0 0 0 1   0.01499  0.00005
2.09905e-20 -4.76985e-20 0 -0.010472 -0.000628319 -1.74325 0.265447 0.164427 0.0553095 0.010472 -0.000628319 -1.74325 -0.265447 0.164427 -0.0553095 2.9708e-313 4.8684e-86 0 -4.86298e+244 4.88059e-313 4.24402e-314 1.6976e-313 5.3289e+06 5.94159e-313 1.39069e-309 1.42904e-284 2.12203e-314 7.01379e-270 0 0 0 0 0 1 0 0 0 1 0 0 0 1   0.01999  0.00005
2.09905e-20 -4.76985e-20 0 -0.010472 -0.000628319 -1.74325 0.265447 0.164427 0.0553095 0.010472 -0.000628319 -1.74325 -0.265447 0.164427 -0.0553095 2.9708e-313 4.8684e-86 0 -4.86298e+244 4.88059e-313 4.24402e-314 1.6976e-313 5.3289e+06 5.94159e-313 1.39069e-309 1.42904e-284 2.12203e-314 7.01379e-270 0 0 0 0 0 1 0 0 0 1 0 0 0 1   0.02499  0.00005
2.09905e-20 -4.76985e-20 0 -0.010472 -0.000628319 -1.74325 0.265447 0.164427 0.0553095 0.010472 -0.000628319 -1.74325 -0.265447 0.164427 -0.0553095 2.9708e-313 4.8684e-86 0 -4.86298e+244 4.88059e-313 4.24402e-314 1.6976e-313 5.3289e+06 5.94159e-313 1.39069e-309 1.42904e-284 2.12203e-314 7.01379e-270 0 0 0 0 0 1 0 0 0 1 0 0 0 1   0.02999  0.00005
2.09905e-20 -4.76985e-20 0 -0.010472 -0.000628319 -1.74325 0.265447 0.164427 0.0553095 0.010472 -0.000628319 -1.74325 -0.265447 0.164427 -0.0553095 2.9708e-313 4.8684e-86 0 -4.86298e+244 4.88059e-313 4.24402e-314 1.6976e-313 5.3289e+06 5.94159e-313 1.39069e-309 1.42904e-284 2.12203e-314 7.01379e-270 0 0 0 0 0 1 0 0 0 1 0 0 0 1   0.03499  0.00005
2.09905e-20 -4.76985e-20 0 -0.010472 -0.000628319 -1.74325 0.265447 0.164427 0.0553095 0.010472 -0.000628319 -1.74325 -0.265447 0.164427 -0.0553095 2.9708e-313 4.8684e-86 0 -4.86298e+244 4.88059e-313 4.24402e-314 1.6976e-313 5.3289e+06 5.94159e-313 1.39069e-309 1.42904e-284 2.12203e-314 7.01379e-270 0 0 0 0 0 1 0 0 0 1 0 0 0 1   0.03999  0.00005
2.09905e-20 -4.76985e-20 0 -0.010472 -0.000628319 -1.74325 0.265447 0.164427 0.0553095 0.010472 -0.000628319 -1.74325 -0.265447 0.164427 -0.0553095 2.9708e-313 4.8684e-86 0 -4.86298e+244 4.88059e-313 4.24402e-314 1.6976e-313 5.3289e+06 5.94159e-313 1.39069e-309 1.42904e-284 2.12203e-314 7.01379e-270 0 0 0 0 0 1 0 0 0 1 0 0 0 1   0.04499  0.00005
