0.295	-0.0115512 	-0.00132183 	-1.74259 	0.265454 	0.16448 	0.0711471 	
0.3	-0.0115891 	-0.00134576 	-1.74256 	0.265454 	0.164473 	0.0716881 	
0.305	-0.0116276 	-0.00137011 	-1.74254 	0.265454 	0.164466 	0.0722381 	
0.31	-0.0116667 	-0.00139488 	-1.74251 	0.265455 	0.164459 	0.0727972 	
0.315	-0.0117065 	-0.00142005 	-1.74249 	0.265455 	0.164451 	0.0733653 	
0.32	-0.011747 	-0.00144565 	-1.74246 	0.265455 	0.164443 	0.0739426 	
0.325	-0.0117881 	-0.00147167 	-1.74243 	0.265455 	0.164435 	0.0745289 	
0.33	-0.0118298 	-0.00149812 	-1.74241 	0.265456 	0.164426 	0.0751242 	
0.335	-0.0118721 	-0.00152499 	-1.74238 	0.265456 	0.164418 	0.0757286 	
0.34	-0.0119151 	-0.0015523 	-1.74235 	0.265456 	0.164409 	0.0763421 	
0.345	-0.0119587 	-0.00158004 	-1.74232 	0.265456 	0.1644 	0.0769647 	
0.35	-0.012003 	-0.00160821 	-1.74229 	0.265457 	0.164391 	0.0775963 	
0.355	-0.0120479 	-0.00163682 	-1.74226 	0.265457 	0.164382 	0.078237 	
0.36	-0.0120934 	-0.00166586 	-1.74223 	0.265457 	0.164372 	0.0788867 	
0.365	-0.0121396 	-0.00169534 	-1.7422 	0.265458 	0.164363 	0.0795455 	
0.37	-0.0121864 	-0.00172524 	-1.74217 	0.265458 	0.164353 	0.0802134 	
0.375	-0.0122338 	-0.0017556 	-1.74214 	0.265458 	0.164343 	0.0808904 	
0.38	-0.0122818 	-0.0017864 	-1.74211 	0.265459 	0.164333 	0.0815764 	
0.385	-0.0123305 	-0.00181763 	-1.74208 	0.265459 	0.164323 	0.0822715 	
0.39	-0.0123798 	-0.00184933 	-1.74204 	0.265459 	0.164313 	0.0829757 	
0.395	-0.0124298 	-0.00188145 	-1.74201 	0.26546 	0.164302 	0.0836889 	
0.4	-0.0124803 	-0.00191403 	-1.74198 	0.26546 	0.164291 	0.0844112 	
0.405	4.08713 	4.9793 	-4.80854 	3.53195 	-1.15934 	-4.07163 	
0.41	362.061 	-344.914 	10.8109 	760.03 	-314.809 	-163.622 	
0.415	79.3177 	-5.62166 	-77.1539 	238.527 	-69.7641 	137.971 	
0.42	10.3689 	-7.58742 	32.8902 	41.2287 	11.407 	-41.7666 	
0.425	5.87054 	5.62083 	-4.57478 	2.88118 	-0.404782 	-5.36015 	
0.43	-25.1551 	-11.2604 	-26.6608 	95.1451 	42.7492 	21.5383 	
0.435	10.3694 	4.97911 	1.47432 	-2.75285 	-1.15954 	2.21424 	
0.44	29.0519 	19.511 	-64.5875 	12.3342 	49.6166 	6.02302 	
0.445	5.761 	-18.8333 	-11.4009 	31.1812 	34.8073 	-14.7186 	
0.45	-121.995 	43.06 	-23.5893 	-68.791 	-14.9197 	106.43 	
0.455	-0.620338 	26.0549 	-8.17522 	122.81 	-8.69014 	132.781 	
0.46	3.67005 	49.3429 	-155.535 	-244.722 	-27.4855 	263.511 	
0.465	-0.62072 	7.20553 	-1.89236 	-15.4196 	-8.68943 	-18.0151 	
0.47	-0.619871 	19.7718 	-1.89191 	-9.13743 	10.1592 	-11.7317 	
0.475	125.641 	7.58907 	61.3042 	-11.6703 	-45.2157 	34.107 	
0.48	-0.619923 	0.922188 	-1.89189 	-15.4206 	3.87603 	-18.0147 	
0.485	-33.6128 	67.811 	-117.906 	-71.8674 	-7.4421 	-4.06823 	
0.49	-240.958 	-82.9855 	32.8903 	493.619 	-63.9911 	-387.342 	
0.495	-0.620923 	0.922128 	4.39103 	-15.4194 	-2.40664 	-18.0152 	
0.5	-14.7634 	17.5456 	-4.80888 	3.53031 	-26.2922 	-16.6335 	
0.505	-303.957 	289.688 	117.625 	-308.11 	-409.057 	131.69 	
0.51	5.87015 	5.62074 	-4.57467 	-3.40185 	-6.6875 	-5.35707 	
0.515	-2.61374 	11.6437 	-4.73877 	0.323072 	-8.63538 	-0.380521 	
0.52	3.66996 	5.3609 	-4.7392 	0.32232 	-2.35319 	-6.66361 	
