0	0.331771 	-0.1723 	0.0489844 	0.631878 	-1.57078 	-0.631886 	
0.005	0.331771 	-0.1723 	0.0489844 	0.631878 	-1.57078 	-0.631886 	
0.01	0.331771 	-0.1723 	0.0489844 	0.631878 	-1.57078 	-0.631886 	
0.015	0.331771 	-0.1723 	0.0489844 	0.631878 	-1.57078 	-0.631886 	
0.02	0.331771 	-0.1723 	0.0489844 	0.631878 	-1.57078 	-0.631886 	
0.025	0.331364 	-0.172194 	0.0484304 	0.0275065 	-1.56873 	-0.0272163 	
0.03	0.331113 	-0.172107 	0.0480995 	0.024023 	-1.56763 	-0.0234795 	
0.035	0.330548 	-0.171944 	0.0473473 	0.0281109 	-1.56496 	-0.0271052 	
0.04	0.329856 	-0.171729 	0.0463803 	0.0259253 	-1.56151 	-0.0243046 	
0.045	0.329171 	-0.171533 	0.0454518 	0.0249167 	-1.55823 	-0.0227343 	
0.05	0.326678 	-0.170778 	0.0420376 	0.02381 	-1.5463 	-0.0194451 	
0.055	0.326678 	-0.170778 	0.0420376 	0.02381 	-1.5463 	-0.0194451 	
0.06	0.326428 	-0.170724 	0.0417852 	0.0239005 	-1.54536 	-0.0193827 	
0.065	0.326398 	-0.170687 	0.0416493 	0.0237786 	-1.54495 	-0.0191507 	
0.07	0.324348 	-0.170035 	0.0388379 	0.0241197 	-1.53502 	-0.017597 	
0.075	0.323559 	-0.169792 	0.0378081 	0.0243792 	-1.53131 	-0.0171489 	
0.08	0.3227 	-0.16954 	0.0367108 	0.02462 	-1.52739 	-0.0166565 	
0.085	0.321913 	-0.169289 	0.0357046 	0.0247992 	-1.52384 	-0.0160984 	
0.09	0.321096 	-0.169043 	0.0346756 	0.0250088 	-1.52019 	-0.0155845 	
0.095	0.320292 	-0.168795 	0.0336767 	0.0252567 	-1.51661 	-0.015103 	
0.1	0.319423 	-0.16851 	0.0324412 	0.0259983 	-1.51231 	-0.015011 	
0.105	0.318698 	-0.168334 	0.0317472 	0.0262728 	-1.50964 	-0.0147703 	
0.11	0.317803 	-0.168075 	0.0306631 	0.026554 	-1.5057 	-0.0142885 	
0.115	0.317011 	-0.167856 	0.0297239 	0.0268494 	-1.50219 	-0.0139395 	
0.12	0.316264 	-0.167634 	0.0288172 	0.0271084 	-1.49885 	-0.0135405 	
0.125	0.315528 	-0.167429 	0.0279316 	0.0273902 	-1.49552 	-0.0132176 	
0.13	0.314816 	-0.16722 	0.0270722 	0.02766 	-1.49229 	-0.0128691 	
0.135	0.31409 	-0.167022 	0.0262122 	0.0279266 	-1.48906 	-0.0125468 	
0.14	0.313387 	-0.166817 	0.0253686 	0.0281829 	-1.48589 	-0.0121925 	
0.145	0.312644 	-0.166596 	0.0244733 	0.0284305 	-1.48258 	-0.0117822 	
0.15	0.311939 	-0.166392 	0.0236362 	0.0286772 	-1.47944 	-0.0114182 	
0.155	0.311188 	-0.166177 	0.0227539 	0.0289514 	-1.4761 	-0.0110502 	
0.16	0.310405 	-0.165972 	0.0218687 	0.0292314 	-1.47271 	-0.0107175 	
0.165	0.309652 	-0.165766 	0.021022 	0.0294927 	-1.46948 	-0.01036 	
0.17	0.308879 	-0.165541 	0.0201388 	0.0297644 	-1.46611 	-0.00995175 	
0.175	0.308096 	-0.16533 	0.0192646 	0.030054 	-1.4627 	-0.0096069 	
0.18	0.307284 	-0.165104 	0.0183424 	0.030333 	-1.45918 	-0.00920386 	
0.185	0.306478 	-0.164882 	0.017438 	0.0305972 	-1.45574 	-0.00879383 	
0.19	0.305656 	-0.164661 	0.0165048 	0.0308647 	-1.45221 	-0.00839301 	
0.195	0.304832 	-0.164431 	0.015573 	0.0311397 	-1.44866 	-0.00796999 	
0.2	0.304006 	-0.164205 	0.0146497 	0.0314194 	-1.4451 	-0.00755959 	
0.205	0.303164 	-0.163971 	0.0136971 	0.0317084 	-1.44143 	-0.00713483 	
0.21	0.302375 	-0.163758 	0.0128137 	0.0319964 	-1.43793 	-0.00677243 	
0.215	0.301581 	-0.163538 	0.0119102 	0.0322764 	-1.43441 	-0.00637829 	
0.22	0.300818 	-0.163328 	0.0110513 	0.0325397 	-1.43106 	-0.00599882 	
0.225	0.300045 	-0.163112 	0.0101854 	0.0327785 	-1.42781 	-0.00557074 	
0.23	0.299255 	-0.162899 	0.00932872 	0.0330222 	-1.42456 	-0.00515523 	
0.235	0.298471 	-0.162681 	0.00845411 	0.0332706 	-1.42125 	-0.00472867 	
0.24	0.297662 	-0.162461 	0.00757663 	0.0335178 	-1.41794 	-0.00429274 	
0.245	0.296839 	-0.162227 	0.00668533 	0.0337707 	-1.41458 	-0.00381675 	
0.25	0.296019 	-0.162011 	0.00582172 	0.0340196 	-1.4113 	-0.00339003 	
0.255	0.295207 	-0.161786 	0.00496842 	0.0342623 	-1.40808 	-0.00292719 	
0.26	0.294401 	-0.161578 	0.00414564 	0.0344971 	-1.40498 	-0.00250957 	
0.265	0.293636 	-0.16137 	0.00335912 	0.0347204 	-1.40204 	-0.00207445 	
0.27	0.292106 	-0.160979 	0.00181735 	0.0351624 	-1.39626 	-0.00128223 	
0.275	0.292106 	-0.160979 	0.00181735 	0.0351624 	-1.39626 	-0.00128223 	
0.28	0.291366 	-0.160779 	0.00106835 	0.0353777 	-1.39347 	-0.000862483 	
0.285	0.29066 	-0.160595 	0.000375235 	0.0355819 	-1.39085 	-0.000479044 	
0.29	0.289973 	-0.160426 	-0.000301732 	0.0357905 	-1.38822 	-0.000153636 	
0.295	0.289264 	-0.160245 	-0.000985707 	0.0359977 	-1.38561 	0.000219002 	
0.3	0.288636 	-0.160087 	-0.00157689 	0.0361736 	-1.38338 	0.00055188 	
0.305	0.288037 	-0.159929 	-0.00216327 	0.0363443 	-1.38121 	0.000889865 	
0.31	0.287435 	-0.159774 	-0.0027607 	0.0365119 	-1.37907 	0.0012174 	
0.315	0.286871 	-0.159622 	-0.00331362 	0.036666 	-1.37711 	0.00155646 	
